id,current_name,detected_language,name_en,name_bn,current_slug,bmdc_number,needs_review
ce88dcc1-2285-4fd1-b27b-088fa3a9de62,Dr. Abdul Jabbar Jiban,en,Abdul Jabbar Jiban,আব্দুল জব্বার জীবন,dr-abdul-jabbar-jiban,A-28491,
141ddf83-4692-4309-8bbd-ca71a931bdcf,Dr. A. B. M. Shakil Gani,en,A. B. M. Shakil Gani,এ. বি. এম. শাকিল গনি,dr-a-b-m-shakil-gani,,
16175a6d-0128-453c-adfa-c0706a11b04c,Dr. Ashraful Hoque Sium,en,Ashraful Hoque Sium,আশরাফুল হক সিয়াম,dr-ashraful-hoque-sium,A-41778,
095eece9-fe36-48a9-b063-44b05f246036,Dr. Binoy Krishna Tarafder,en,Binoy Krishna Tarafder,বিনয় কৃষ্ণ তরফদার,dr-binoy-krishna-tarafder,,
152bdf86-04f7-48b6-ad82-a89be0e771fd,Dr. D.M.M. Faruque Osmani,en,D.M.M. Faruque Osmani,ডি.এম.এম. ফারুক ওসমানী,dr-dmm-faruque-osmani,,
53e6503e-113a-4824-bcc4-9e6e7788cd84,Dr. Farhana Afroz,en,Farhana Afroz,ফারহানা আফরোজ,dr-farhana-afroz,,
fd537199-d235-5b85-a133-e309fcb28093,Dr. Farhana Akter,en,Farhana Akter,ফারহানা আক্তার,dr-farhana-akter,,
baeb2b30-0aa5-4f03-994f-8c75317d06d8,Dr. Faria Afsana,en,Faria Afsana,ফারিয়া আফসানা,dr-faria-afsana,,
75826750-1026-4f1c-8af5-680813623b62,Dr. G M Reza,en,G M Reza,জি. এম. রেজা,dr-g-m-reza,,
e314122b-08a7-4e99-9f16-01a1cf241536,Dr. Hasina Sadia Khan,en,Hasina Sadia Khan,হাসিনা সাদিয়া খান,dr-hasina-sadia-khan,,
5b7c7c94-370b-458a-936e-1c41834527c0,Dr. Indrajit Kumar Kundu,en,Indrajit Kumar Kundu,ইন্দ্রজিৎ কুমার কুন্ডু,dr-indrajit-kumar-kundu,,
77d6d1e0-5e06-495b-a0be-e6969416ce8d,Dr. Ishrat Binte Reza,en,Ishrat Binte Reza,ইশরাত বিনতে রেজা,dr-ishrat-binte-reza,,
f9409be6-6a1c-41a1-94f3-91b3bb5b1e06,Dr. Juliet Parwin,en,Juliet Parwin,জুলিয়েট পারভীন,dr-juliet-parwin,,
2f56a4b2-ac88-4056-aac1-c692fd53c496,Dr. Kamrul Millat,en,Kamrul Millat,কামরুল মিল্লাত,dr-kamrul-millat,A-52475,
179bf144-007d-4c31-bbeb-dfc601edf617,Dr. Kaniz Sultana,en,Kaniz Sultana,কানিজ সুলতানা,dr-kaniz-sultana,,
09627217-b799-4abb-ad5d-b51a9a5e8b00,Dr. Kazi Irfan Sobhan,en,Kazi Irfan Sobhan,কাজী ইরফান সোবহান,dr-kazi-irfan-sobhan,,
57ea6e6d-b6f0-5a42-89f9-edcc14a807c4,Dr. Kazi Naushad-Un-Nabi,en,Kazi Naushad-Un-Nabi,কাজী নওশাদ-উন-নবী,dr-kazi-naushad-un-nabi,,
4cf53c20-00c9-4693-bcc0-7fa9a4c6d5d5,Dr. Khondokar A B M Abdullah Al Hasan,en,Khondokar A B M Abdullah Al Hasan,খন্দকার এ. বি. এম. আব্দুল্লাহ আল হাসান,dr-khondokar-a-b-m-abdullah-al-hasan,,
fc161ddb-3127-45e5-ace3-3a0f7a56cb38,Dr. Laila Arjumand Banu,en,Laila Arjumand Banu,লায়লা আরজুমান্দ বানু,dr-laila-arjumand-banu,,
6389b556-76d4-4b78-baa0-fcea5a9982c1,Dr. Mafruha Akter (Rumana),en,Mafruha Akter (Rumana),মাফরুহা আক্তার (রুমানা),dr-mafruha-akter-rumana,,
719c57b9-5fc4-48c8-bae7-525ac9d5c8e7,Dr. Mahbubul Islam,en,Mahbubul Islam,মাহবুবুল ইসলাম,dr-mahbubul-islam,A-11387,
8687e8f5-c100-4ddc-b7f5-32b07784aa9c,Dr. Md. Abu Sayeed,en,Md. Abu Sayeed,মোঃ আবু সাঈদ,dr-md-abu-sayeed,,
5cec7114-ccaa-4f49-a52b-f726f95477aa,Dr. Md. Alamgir Hossain (Joni),en,Md. Alamgir Hossain (Joni),মোঃ আলমগীর হোসেন (জনি),dr-md-alamgir-hossain-joni,,
65de8b2d-bd49-43e4-b302-e1eb5f7c4363,Dr. Md. Ali Faisal (Liton),en,Md. Ali Faisal (Liton),মোঃ আলী ফয়সাল (লিটন),dr-md-ali-faisal-liton,,
9a286e5a-cbe3-4d0b-a936-8f40cda50a40,Dr. Md. Anisul Goni Khan,en,Md. Anisul Goni Khan,মোঃ আনিসুল গনি খান,dr-md-anisul-goni-khan,,
bc8fa2bb-4c63-4a48-8438-80969190d8d8,Dr. Md. Apel Mahmud,en,Md. Apel Mahmud,মোঃ আপেল মাহমুদ,dr-md-apel-mahmud,93156,
5aa8fbc5-663b-4d4b-a002-34f39d5d3813,Dr. Md. Armanul Islam,en,Md. Armanul Islam,মোঃ আরমানুল ইসলাম,dr-md-armanul-islam,A-48891,
37fe358d-69c1-4f2d-9e9b-1fe8d7fe0c98,Dr. Md. Fakrul Islam Khaled,en,Md. Fakrul Islam Khaled,মোঃ ফখরুল ইসলাম খালেদ,dr-md-fakrul-islam-khaled,,
aed54708-d17a-451b-9bbb-bc9b5a935f33,Dr. Md. Firoz Hossain,en,Md. Firoz Hossain,মোঃ ফিরোজ হোসেন,dr-md-firoz-hossain,,
75a51961-a5ae-4691-a12a-759051b8925b,Dr. Md. Golam Nabi,en,Md. Golam Nabi,মোঃ গোলাম নবী,dr-md-golam-nabi,,
3e31bf65-6783-41a6-945d-48f89391554c,Dr. Md. Ibrahim Khalil (Shahin),en,Md. Ibrahim Khalil (Shahin),মোঃ ইব্রাহিম খলিল (শাহীন),dr-md-ibrahim-khalil-shahin,,
dabd7e0c-d162-40fb-80de-635d666247c3,Dr. Md. Kamruzzaman,en,Md. Kamruzzaman,মোঃ কামরুজ্জামান,dr-md-kamruzzaman,,
f6ec95f9-e241-483d-ab25-e1dd316a1b13,Dr. Md. Nazmul Hoque Masum,en,Md. Nazmul Hoque Masum,মোঃ নাজমুল হক মাসুম,dr-md-nazmul-hoque-masum,,
2f075c2e-a516-4175-9b28-77128dbfb9cc,Dr. Md. Rajibur Rahman,en,Md. Rajibur Rahman,মোঃ রাজিবুর রহমান,dr-md-rajibur-rahman,,
525acfd5-da40-4fa1-81ae-33e46102fd0e,Dr. Md. Rashedul Hasan,en,Md. Rashedul Hasan,মোঃ রাশেদুল হাসান,dr-md-rashedul-hasan,,
35beef46-832f-481a-93e5-2932f97d57d7,Dr. Md. Rezaul Karim,en,Md. Rezaul Karim,মোঃ রেজাউল করিম,dr-md-rezaul-karim,,
